,speed,deg,gust,address,time,LSTRNM,postcode,DISTRICT,lat,lon,full_address
0,2.44,176,5.12,Aalmoezenierstraat 2000 Antwerpen,14-Nov 15:00,Aalmoezenierstraat,2000,Antwerpen,51.2141268,4.4006563,Aalmoezenierstraat 2000 Antwerpen
1,3.29,186,8.85,Aalmoezenierstraat 2000 Antwerpen,14-Nov 18:00,Aalmoezenierstraat,2000,Antwerpen,51.2141268,4.4006563,Aalmoezenierstraat 2000 Antwerpen
2,3.58,194,10.24,Aalmoezenierstraat 2000 Antwerpen,14-Nov 21:00,Aalmoezenierstraat,2000,Antwerpen,51.2141268,4.4006563,Aalmoezenierstraat 2000 Antwerpen
3,4.18,190,9.65,Aalmoezenierstraat 2000 Antwerpen,15-Nov 00:00,Aalmoezenierstraat,2000,Antwerpen,51.2141268,4.4006563,Aalmoezenierstraat 2000 Antwerpen
4,4.17,198,9.52,Aalmoezenierstraat 2000 Antwerpen,15-Nov 03:00,Aalmoezenierstraat,2000,Antwerpen,51.2141268,4.4006563,Aalmoezenierstraat 2000 Antwerpen
5,4.11,213,9.13,Aalmoezenierstraat 2000 Antwerpen,15-Nov 06:00,Aalmoezenierstraat,2000,Antwerpen,51.2141268,4.4006563,Aalmoezenierstraat 2000 Antwerpen
6,4.94,172,10.35,Aalmoezenierstraat 2000 Antwerpen,15-Nov 09:00,Aalmoezenierstraat,2000,Antwerpen,51.2141268,4.4006563,Aalmoezenierstraat 2000 Antwerpen
7,6.04,164,11.35,Aalmoezenierstraat 2000 Antwerpen,15-Nov 12:00,Aalmoezenierstraat,2000,Antwerpen,51.2141268,4.4006563,Aalmoezenierstraat 2000 Antwerpen
8,6.18,154,13.34,Aalmoezenierstraat 2000 Antwerpen,15-Nov 15:00,Aalmoezenierstraat,2000,Antwerpen,51.2141268,4.4006563,Aalmoezenierstraat 2000 Antwerpen
9,5.38,162,12.68,Aalmoezenierstraat 2000 Antwerpen,15-Nov 18:00,Aalmoezenierstraat,2000,Antwerpen,51.2141268,4.4006563,Aalmoezenierstraat 2000 Antwerpen
10,5.35,185,11.61,Aalmoezenierstraat 2000 Antwerpen,15-Nov 21:00,Aalmoezenierstraat,2000,Antwerpen,51.2141268,4.4006563,Aalmoezenierstraat 2000 Antwerpen
11,3.97,195,9.66,Aalmoezenierstraat 2000 Antwerpen,16-Nov 00:00,Aalmoezenierstraat,2000,Antwerpen,51.2141268,4.4006563,Aalmoezenierstraat 2000 Antwerpen
12,4.4,208,9.67,Aalmoezenierstraat 2000 Antwerpen,16-Nov 03:00,Aalmoezenierstraat,2000,Antwerpen,51.2141268,4.4006563,Aalmoezenierstraat 2000 Antwerpen
13,4.44,183,11.71,Aalmoezenierstraat 2000 Antwerpen,16-Nov 06:00,Aalmoezenierstraat,2000,Antwerpen,51.2141268,4.4006563,Aalmoezenierstraat 2000 Antwerpen
14,6.4,193,12.0,Aalmoezenierstraat 2000 Antwerpen,16-Nov 09:00,Aalmoezenierstraat,2000,Antwerpen,51.2141268,4.4006563,Aalmoezenierstraat 2000 Antwerpen
15,5.87,204,10.13,Aalmoezenierstraat 2000 Antwerpen,16-Nov 12:00,Aalmoezenierstraat,2000,Antwerpen,51.2141268,4.4006563,Aalmoezenierstraat 2000 Antwerpen
16,3.65,193,7.57,Aalmoezenierstraat 2000 Antwerpen,16-Nov 15:00,Aalmoezenierstraat,2000,Antwerpen,51.2141268,4.4006563,Aalmoezenierstraat 2000 Antwerpen
