OBJECTID,LSTRNMID,LSTRNM,RSTRNMID,RSTRNM,postcode,DISTRICT,GISID,EINDSTRNM,EINDGEOM,LABEL_LSTRNM,LABEL_RSTRNM,RRSTRAATCODE_RSTRNM,RRSTRAATCODE_LSTRNM,RRSTRAATCODE_POSTCODE_LSTRNM,RRSTRAATCODE_POSTCODE_RSTRNM,STRAATNAAMID_12,RRSTRAATCODE_12,SHAPE_Length
1,-9, ,662,Derde Havendok-Noordkaai,2030,Antwerpen,2030-9662,,, ,DERDE HAVENDOK-NOORDKAAI,0875,,,20300875,,,1138.20937459677
2,-9, ,1420,Kanaaldok B1-Westkaai,2040,Berendrecht-Zandvliet-Lillo,2040-91420,,, ,KANAALDOK B1-WESTKAAI,0888,,,20400888,,,209.459356292437
3,-9, ,2316,Pinksterbloemlaan,2180,Ekeren,2180-92316,,, ,PINKSTERBLOEMLAAN,3149,,,21803149,,,39.8313971709613
4,-9, ,2578,Schriek,2180,Ekeren,2180-92578,,, ,SCHRIEK,1163,,,21801163,,,102.928986958889
5,-9, ,2582,Schuildok voor Lichters,2030,Antwerpen,2030-92582,,, ,SCHUILDOK VOOR LICHTERS,0800,,,20300800,,,175.45244754185
6,121,Aakstraat,121,Aakstraat,2040,Berendrecht-Zandvliet-Lillo,2040121121,,,AAKSTRAAT,AAKSTRAAT,0517,0517,20400517,20400517,,,243.165942397489
7,122,Aalbeslei,122,Aalbeslei,2610,Wilrijk,2610122122,,,AALBESLEI,AALBESLEI,3005,3005,26103005,26103005,,,140.728257286818
8,123,Aalmoezenierstraat,123,Aalmoezenierstraat,2000,Antwerpen,2000123123,,,AALMOEZENIERSTRAAT,AALMOEZENIERSTRAAT,2201,2201,20002201,20002201,,,284.68953739239
9,124,Aarschotplaats,124,Aarschotplaats,2018,Antwerpen,2018124124,,,AARSCHOTPLAATS,AARSCHOTPLAATS,4201,4201,20184201,20184201,,,56.0055471262041
10,125,Aarschotstraat,125,Aarschotstraat,2018,Antwerpen,2018125125,,,AARSCHOTSTRAAT,AARSCHOTSTRAAT,4202,4202,20184202,20184202,,,130.14363761328
11,126,Aartselaarstraat,126,Aartselaarstraat,2660,Hoboken,2660126126,,,AARTSELAARSTRAAT,AARTSELAARSTRAAT,0401,0401,26600401,26600401,,,837.571270464739
12,127,Abdijstraat,127,Abdijstraat,2020,Antwerpen,2020127127,,,ABDIJSTRAAT,ABDIJSTRAAT,9201,9201,20209201,20209201,,,853.643078165334
13,128,Abelenprieel,128,Abelenprieel,2610,Wilrijk,2610128128,,,ABELENPRIEEL,ABELENPRIEEL,1000,1000,26101000,26101000,,,92.3194210265497
14,129,Abraham Verhoevenlaan,129,Abraham Verhoevenlaan,2050,Antwerpen,2050129129,,,ABRAHAM VERHOEVENLAAN,ABRAHAM VERHOEVENLAAN,2301,2301,20502301,20502301,,,277.068682368816
15,130,Abtenstraat,130,Abtenstraat,2040,Berendrecht-Zandvliet-Lillo,2040130130,,,ABTENSTRAAT,ABTENSTRAAT,0454,0454,20400454,20400454,,,232.74242903329
16,131,Acacialaan,131,Acacialaan,2020,Antwerpen,2020131131,,,ACACIALAAN,ACACIALAAN,9101,9101,20209101,20209101,,,664.454975213164
17,131,Acacialaan,131,Acacialaan,2610,Wilrijk,2610131131,,,ACACIALAAN,ACACIALAAN,9101,9101,26109101,26109101,,,301.290185052104
18,132,Achturendagstraat,132,Achturendagstraat,2660,Hoboken,2660132132,,,ACHTURENDAGSTRAAT,ACHTURENDAGSTRAAT,0701,0701,26600701,26600701,,,287.761947582896
19,133,Adelaarstraat,133,Adelaarstraat,2170,Merksem,2170133133,,,ADELAARSTRAAT,ADELAARSTRAAT,0001,0001,21700001,21700001,,,293.970339378123
20,134,Adelbert Kennisplein,134,Adelbert Kennisplein,2100,Deurne,2100134134,,,ADELBERT KENNISPLEIN,ADELBERT KENNISPLEIN,0901,0901,21000901,21000901,,,155.605129471499
21,135,Admiraal de Boisotstraat,135,Admiraal de Boisotstraat,2000,Antwerpen,2000135135,,,ADMIRAAL DE BOISOTSTRAAT,ADMIRAAL DE BOISOTSTRAAT,3101,3101,20003101,20003101,,,175.207708194385
22,136,Adolf Greinerstraat,136,Adolf Greinerstraat,2660,Hoboken,2660136136,,,ADOLF GREINERSTRAAT,ADOLF GREINERSTRAAT,0702,0702,26600702,26600702,,,1572.17959171192
23,137,Adolf Menystraat,137,Adolf Menystraat,2050,Antwerpen,2050137137,,,ADOLF MENYSTRAAT,ADOLF MENYSTRAAT,2404,2404,20502404,20502404,,,240.670466578549
24,138,Adriaan Brouwerstraat,138,Adriaan Brouwerstraat,2000,Antwerpen,2000138138,,,ADRIAAN BROUWERSTRAAT,ADRIAAN BROUWERSTRAAT,0107,0107,20000107,20000107,,,246.599974328586
25,139,Aernout en Willemlaan,139,Aernout en Willemlaan,2050,Antwerpen,2050139139,,,AERNOUT EN WILLEMLAAN,AERNOUT EN WILLEMLAAN,2327,2327,20502327,20502327,,,210.695325877676
26,140,Afrikalaan,140,Afrikalaan,2610,Wilrijk,2610140140,,,AFRIKALAAN,AFRIKALAAN,1005,1005,26101005,26101005,,,58.5415243212787
27,142,Ahornenlaan,142,Ahornenlaan,2020,Antwerpen,2020142142,,,AHORNENLAAN,AHORNENLAAN,9102,9102,20209102,20209102,,,144.760421328256
28,142,Ahornenlaan,142,Ahornenlaan,2610,Wilrijk,2610142142,,,AHORNENLAAN,AHORNENLAAN,9102,9102,26109102,26109102,,,504.290258271491
29,143,Aimé De Graevestraat,143,Aimé De Graevestraat,2100,Deurne,2100143143,,,AIMÉ DE GRAEVESTRAAT,AIMÉ DE GRAEVESTRAAT,0902,0902,21000902,21000902,,,73.2002106221973
30,144,Akker,144,Akker,2180,Ekeren,2180144144,,,AKKER,AKKER,1001,1001,21801001,21801001,,,404.557493712689
31,145,Akkerbouwstraat,145,Akkerbouwstraat,2170,Merksem,2170145145,,,AKKERBOUWSTRAAT,AKKERBOUWSTRAAT,0002,0002,21700002,21700002,,,377.29688375445
32,146,Akkerwindestraat,146,Akkerwindestraat,2050,Antwerpen,2050146146,,,AKKERWINDESTRAAT,AKKERWINDESTRAAT,2302,2302,20502302,20502302,,,239.428034591306
33,147,Albert Bevernagelei,147,Albert Bevernagelei,2100,Deurne,2100147147,,,ALBERT BEVERNAGELEI,ALBERT BEVERNAGELEI,0101,0101,21000101,21000101,,,356.929891769926
34,148,Albert Dickschenstraat,148,Albert Dickschenstraat,2610,Wilrijk,2610148148,,,ALBERT DICKSCHENSTRAAT,ALBERT DICKSCHENSTRAAT,3010,3010,26103010,26103010,,,165.36649686851
35,149,Albert Einsteinlaan,149,Albert Einsteinlaan,2660,Hoboken,2660149149,,,ALBERT EINSTEINLAAN,ALBERT EINSTEINLAAN,0402,0402,26600402,26600402,,,341.070179296374
36,151,Albert Meulemansstraat,151,Albert Meulemansstraat,2170,Merksem,2170151151,,,ALBERT MEULEMANSSTRAAT,ALBERT MEULEMANSSTRAAT,0003,0003,21700003,21700003,,,158.275220100694
37,152,Albert Spietaelslaan,152,Albert Spietaelslaan,2100,Deurne,2100152152,,,ALBERT SPIETAELSLAAN,ALBERT SPIETAELSLAAN,0601,0601,21000601,21000601,,,148.769514206515
