,LSTRNM,postcode,DISTRICT,lat,lon
0,Aalmoezenierstraat,2000,Antwerpen,51.2141268,4.4006563
1,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622
2,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598
3,Allewaertstraat,2000,Antwerpen,51.2076452,4.3943019
4,Ambtmanstraat,2000,Antwerpen,51.2224327,4.4059231
5,Amerikalei,2000,Antwerpen,51.2044393,4.3891239
6,Amsterdamstraat,2000,Antwerpen,51.2311839,4.403533
7,Ankerrui,2000,Antwerpen,51.2270542,4.4114621
8,Apostelstraat,2000,Antwerpen,51.22012,4.4133381
9,Arenbergstraat,2000,Antwerpen,51.2152839,4.406907
10,Armeduivelstraat,2000,Antwerpen,51.2162415,4.4079581
11,Arsenaalstraat,2000,Antwerpen,51.2154241,4.3937532
12,August Michielsstraat,2000,Antwerpen,51.2316406,4.4094473
13,Augustijnenstraat,2000,Antwerpen,51.2164272,4.3990177
14,Baeckelmansstraat,2000,Antwerpen,51.2151815,4.4126724
15,Baron Dhanislaan,2000,Antwerpen,51.2059999,4.3902723
16,Bataviastraat,2000,Antwerpen,51.2302212,4.4040475
17,Beddenstraat,2000,Antwerpen,51.2193138,4.403419
18,Beeldhouwersstraat,2000,Antwerpen,51.207548,4.3949471
19,Beggaardenstraat,2000,Antwerpen,51.2194338,4.4050931
20,Begijnenstraat,2000,Antwerpen,51.2118162,4.4009387
21,Begijnenvest,2000,Antwerpen,51.2115214,4.4060933
22,Belegstraat,2000,Antwerpen,51.2058773,4.3935239
23,Bergstraat,2000,Antwerpen,51.2184447,4.4002982
24,Bervoetstraat,2000,Antwerpen,51.2120469,4.4020937
25,Binnenvaartstraat,2000,Antwerpen,51.2318899,4.413771
26,Blauwbroekstraat,2000,Antwerpen,51.2265423,4.4022418
27,Blauwmoezelstraat,2000,Antwerpen,51.2206445,4.4010743
28,Blauwtorenplein,2000,Antwerpen,51.212753,4.409466
29,Blindestraat,2000,Antwerpen,51.2226901,4.40692
30,Bogaardestraat,2000,Antwerpen,51.2152029,4.4003651
31,Bolivarplaats,2000,Antwerpen,51.20426085,4.388563025341311
32,Bollandusstraat,2000,Antwerpen,51.2108404,4.4059776
33,Bombaystraat,2000,Antwerpen,51.2350055,4.4093985
34,Bonapartedok,2000,Antwerpen,51.2286723,4.403203777731063
35,Bontwerkersplaats,2000,Antwerpen,51.221708750000005,4.404420065050421
36,Boogkeers,2000,Antwerpen,51.2141521,4.4048988
37,Bordeauxstraat,2000,Antwerpen,51.2309685,4.4091632
38,Borzestraat,2000,Antwerpen,51.220015,4.4062839
39,Boterhamstraat,2000,Antwerpen,51.225055,4.4073161
40,Bourlastraat,2000,Antwerpen,51.2124295,4.4075922
41,Bouwmeestersstraat,2000,Antwerpen,51.2076294,4.3965238
42,Brabantstraat,2000,Antwerpen,51.2111356,4.4059016
43,Braderijstraat,2000,Antwerpen,51.2221681,4.3997689
44,Braziliëstraat,2000,Antwerpen,51.2313725,4.4039724
45,Brederodestraat,2000,Antwerpen,51.203835,4.392123
46,Bredestraat_AN,2000,Antwerpen,51.2144658,4.4020721
47,Bresstraat,2000,Antwerpen,51.2072179,4.3980413
48,Britselei,2000,Antwerpen,51.2110477,4.407482
49,Brouwersvliet,2000,Antwerpen,51.2268948,4.4034265
